Search Source ( Shipper )	Sold by/Retailer	Keyword(s)	Link	Device Name	Brand	-buffer1-	Overview	-buffer2-	Specifications	Type
New Egg	Alatac	Smart Lock	https://www.newegg.com/yale-rb-yrd540-wv-619-wifi-accessories/p/N82E16881860031?Description=Smart%20Lock&cm_re=Smart_Lock-_-81-860-031-_-Product	Nest x Yale lock (Satin Nickel) with Nest Connect	Nest,Yale	#####	smart lock;Versatile smartphone compatibility: Lock and unlock the door with the Nest app, without a key;Unique passcodes: Give passcodes to family and guests. Set schedules to let them in;Keyless deadbolt: It's secure and tamperproof. No lost keys. No picked locks;Works with Nest Secure alarm system: Unlock the door, and the alarm disarms automatically Access history: Get alerts when someone locks and unlocks the door Satin nickel finish: Offers a sleek and industrial appearance One-touch locking: Just tap to lock on your way out Auto-lock feature: The door	%%%%%	General Brand Yale Model RB-YRD540-WV-619 Protocol WiFi  Details Type Smart Lock  Features Features Keyless deadbolt It's secure and tamper-proof. No lost keys. No picked locks.  Remote access Lock and unlock the door with the Nest app. Without a key.  Unique passcodes Give passcodes to family and guests. Set schedules to let them in.  Access history Get alerts when someone locks and unlocks the door.  One-touch locking Just tap to lock on your way out.  Auto-lock It can lock automatically when Nest knows you're away.  Works with the Nest Secure alarm system Unlock the door, and the alarm disarms automatically.  Dimension & Weight Dimensions Front End: 4.59" x 2.59" x 0.80" Rear End: 7.03" x 2.78" x 2.02"  Packaging Package Contents Nest x Yale Lock Installation Guide with removable door template Strike plate Mounting screws 4 AA alkaline batteries Available bundled with Nest Connect  Plug Standards Electrical Outlet Plug Type Air Purifiers  General Color Satin Nickel Type Accessories  Group Type N/A  General App-Enabled Yes  Specification Specifications Simple installation: Replaces existing deadbolt with just a screwdriver. Fits on standard doors 1-3/8" to 2-1/4" thick.  Nest Connect operating temperature: 32 degree to 104 degree F (0 degree to 40 degree C)  Nest Connect input: 100-240V ~ 50-60 Hz, 0.12A	smart lock
New Egg	Newegg	Smart Lock	https://www.newegg.com/august-aug-sl04-m01-s04-wifi-accessories/p/N82E16881049012?Description=Smart%20Lock&cm_re=Smart_Lock-_-81-049-012-_-Product	August Smart Lock, 3rd Gen Technology - Silver, Works with Alexa and Google Assistant	August	#####	lock and unlock your door with your phone;give keyless entry to family, friends, housekeepers and others without worrying about lost or copied keys;august smart lock attaches to your exisitng deadbolt s you can also use your regular keys;doorsense techonology: you'll know your door is completely closed and locked;easy diy installation in 10 minutes;add august connect wi-fi bridge. sold separately;bluetooth campitable;Lock and unlock your door from anywhere and give secure digital keys to guests, all from your phone. All August Smart Locks attach to your existing deadbolt, on the inside of your door so you can still use your keys. August automatically unlocks when you arrive and locks when you leave. Control your August Smart Lock with your voice using Amazon Alexa or the Google Assistant.	%%%%%	Control your door and keep track of who comes and goes, all from your phone; Know your door is both closed and locked with DoorSense; Automatically locks your door behind you; Send guests temporary keys from anywhere instantly from the August app; Attaches to your existing deadbolt and installs in about 10 minutes;installs easily;retrofit installation works with most standard single cylinder deadbolts;installation requires a standard phillips screwdirver;smartphone ready requires IOS;General Brand August Model AUG-SL04-M01-S04 Protocol WiFi  Details Type Smart Lock  Compatibility Amazon Alexa Compatibility Yes Google Assistant Compatibility Yes  Features Features Control your door and keep track of who comes and goes, all from your phone.  Know your door is both closed and locked with DoorSense.  Automatically locks your door behind you.  Send guests temporary keys from anywhere instantly from the August app.  Attaches to your existing deadbolt and installs in about 10 minutes.  Packaging Package Contents August Smart Lock DoorSense Sensor Lock Adapter and Mounting Hardware 4 x AA Batteries  General Color Silver Type Accessories App-Enabled Yes  Specification Specifications Installs Easily:  Retrofit installation works with most standard single cylinder deadbolts. Installation requires a standard Phillips screwdriver  Smartphone Ready: Requires iOS (9.0 or higher) or Android (5.0 or higher) smartphones.  Batteries & Voltage: 4 AA batteries required (included).	smart lock
New Egg	Newegg	Smart Lock	https://www.newegg.com/p/2YK-0079-00001?Description=Smart%20Lock&cm_re=Smart_Lock-_-2YK-0079-00001-_-Product	August Connect Bridge Pairs with August Smart Locks - White - AUG-AC02	August	#####	Unlock the Door When You're Not Home Always know if your door is locked or unlocked Know Who Comes and Goes Works with August App Plugs into a power outlet near your August Smart Lock and connects to your home Wi-Fi in minutes	%%%%%	Always know who's coming and going Check your lock's real-time status from anywhere and track activity at your doorstep with a 24/7 activity log.  Simply Speak to lock your door Tell Alexa or the Google Assistant to control any August Smart Lock with Connect.   Pairs with August Smart Locks The exclusive Wi-Fi bridge for the August Smart Lock family.   Simple setup Plugs into a power outlet and connects to your home Wi-Fi in minutes.	Smart Lock Accessories
New Egg	Newegg	Smart Lock	https://www.newegg.com/p/0XZ-012E-00004?Description=Smart%20Lock&cm_re=Smart_Lock-_-0XZ-012E-00004-_-Product	August Bluetooth Smart Keypad for August Smart Lock - AUG-AK01-M01-G01	August	#####	Convenient keyless entry Create Unique Codes Per Person Activity Log for Tracking Each Entry Send Guests Codes from Your Phone	%%%%%	Secure access for family and friends Create unique codes for yourself, guests, your housekeeper, or handyman to access your home.  Custom codes for increased control Temporary entry codes to allow access for a specified number of days or recurring codes to allow access for a specific time each week.  Battery powered, easy to install August Smart Keypad is powered by 2 AAA batteries, so there's nothing to wire.  Made for August Smart Locks August Smart Keypad works with all August Smart Lock models.  	Accessories
New Egg	Adamant Custom	Smart Lock	https://www.newegg.com/ring-8vr1s7-0fc0-wifi-accessories/p/N82E16881655007?Description=Smart%20Lock&cm_re=Smart_Lock-_-81-655-007-_-Product	Ring Video Doorbell 2	Ring	#####	1080HD video Rechargeable battery pack Wide-angle camera lens Motion-activated alerts Wi-Fi compatible Weather-resistant Adjustable motion sensors Easy installation;Video Doorbell 2 from Ring  Next-gen Video Doorbell with enhanced video resolution and quick-release battery  Get next-level security and convenience with the all-new Video Doorbell 2. Armed with 1080p video, wide-angle lens, night vision, and two-way talk, this Wi-Fi enabled video doorbell lets you watch over your home and answer the door from anywhere. Motion detection with alerts keeps you notified of what's happening on your property. Plus, this gadget can be powered by its internal battery pack, or connected to the doorbell wiring for non-stop power.  1080HD video Rechargeable battery pack Wide-angle camera lens Motion-activated alerts Wi-Fi compatible;The Next Generation of Video Doorbells Watch over your home in crystal-clear 1080HD video, and see, hear and speak to visitors from anywhere. With instant mobile alerts and two-way talk, you can answer the door from your smartphone, tablet and PC.  Instant mobile alerts 1080HD wide-angle video Built-in microphone and speakers;Monitor Your Home from Anywhere Ring lets you adjust your motion sensors so you can find the ideal setting for your home. You’ll get instant alerts when motion is detected, allowing you to protect your property from the comfort of your smartphone.  Adjustable motion sensors Infrared night vision Live View on-demand video and audio;Smart Security for Every Home Video Doorbell 2 works on any home and includes a quick-release rechargeable battery, so you can charge your Doorbell without removing the device. Get two battery packs (only one included), and you'll never worry about power.  Hardwired or battery-powered Includes one rechargeable battery pack iOS, Android, Mac and Windows 10 compatible;A Finish for Every Home Ring Video Doorbell 2 comes with two interchangeable faceplates, so you can pick a color that matches your home and your style. Choose from Venetian Bronze or Satin Nickel.	%%%%%	smart doorbell;The Next Generation of Video Doorbells Watch over your home in crystal-clear 1080HD video, and see, hear and speak to visitors from anywhere. With instant mobile alerts and two-way talk, you can answer the door from your smartphone, tablet and PC. Instant mobile alerts 1080HD wide-angle video Built-in microphone and speakers  Monitor Your Home From Anywhere Ring lets you adjust your motion sensors so you can find the ideal setting for your home. You'll get instant alerts when motion is detected, allowing you to protect your property from the comfort of your smartphone. Adjustable motion sensors Infrared night vision Live View on-demand video and audio  Smart Security for Every Home Video Doorbell 2 works on any home and includes a quick-release rechargeable battery, so you can charge your Doorbell without removing the device. Get two battery packs, and you'll never worry about power. Hardwired or battery-powered Includes one rechargeable battery pack iOS, Android, Mac and Windows 10 compatible;Power: Battery, Hardwired (8-24V AC)  Connectivity: 802.11 b/g/n Wi-Fi connection @ 2.4 GHz  Wi-Fi Speeds: Requires a minimum upload speed of 1 Mbps, but 2 Mbps is recommended for optimal performance  Audio: Two-way audio with noise cancellation  Video: 1080p HD Video, Live View, Night Vision  Motion Detection: Adjustable Motion Zones  Field of View: 160 Degrees	smart doorbell
New Egg	Adamant Custom	Smart Lock	https://www.newegg.com/p/0YH-01C3-00004?Description=Smart%20Lock&cm_re=Smart_Lock-_-0YH-01C3-00004-_-Product	Ring 2 Video Doorbell	Download the free Ring app See, hear and speak to visitors from anywhere. The app gives you instant mobile alerts and lets you answer the door even when youre not at home. It works with iOS, Android and Windows 10 devices. 1080HD wide-angle video See more of your space. Live View gives you an on-demand look at your property, plus the built-in microphone and speakers let you listen and talk with 2-way audio. Adjustable motion sensors and infrared night vision Youll be notified when motion is detected, day or night. Plus, you can adjust the sensors to find the ideal setting for your home. Install in any home The Ring Video Doorbell 2 works in small and large homes alike, and can be hardwired or battery-operated. It includes 2 faceplates for your convenience. Quick-release rechargeable battery Charge the doorbell without removing it. The device comes with one rechargeable battery pack. Purchase an additional one and youll always be powered.	#####	Wifi;smart doorbell	%%%%%		smart doorbell
New Egg	eLGeo	Smart Lock	https://www.newegg.com/ring-88lp000ch000-wifi-accessories/p/N82E16881655002?Description=Smart%20Lock&cm_re=Smart_Lock-_-81-655-002-_-Product	Ring Pro Wi-Fi Enabled Full HD 1080P Video Doorbell	Ring	#####	1080p HD Video, 160 degree Field of View Night Vision, 2 Way Audio Advanced Motion Detection & Cloud Video Recording See & Speak with Visitors by App 4 x Interchangeable Faceplates;Never Miss a Visitor with the Ring Doorbell Pro  Bring your home the ultra-slim, weather-resistant Ring Doorbell Pro, and see, hear and speak to anyone at your door in real time from your smartphone, tablet or desktop anywhere. Day or night, rain or shine – you’re always home. It’s easy to install, and requires an existing hardwired doorbell.  See and Speak to Visitors  The integrated camera captures crystal-clear video at Full HD 1080p resolution, ensuring you can see visitors clearly. It features infrared LEDs for excellent night vision, so you can even effortlessly see visitors in the evening.  With customizable motion zones, the Ring Video Doorbell Pro lets you focus on the most important areas of your home. You can also record and share moments by using the video recording feature on the Ring video doorbell.  The two-way audio capability allows you to hear and talk to your visitors.;Full HD 1080p video Custom motion zones Infrared night vision Two-way audio with noise cancellation Answer the Door from Anywhere  Get instant alerts when visitors press your doorbell or trigger the built-in motion sensors, and see, hear and speak to anyone at your door via your smartphone, tablet or PC* – anywhere in the world!  Motion-activated alerts Video on demand with live view Compatible With iOS, Android, Mac and Windows 10 devices The 802.11 b/g/n Wi-Fi connection makes it easy to link with your home wireless network. *Download the Ring app on your mobile device.;Advanced Security, Elevated Style  With an ultra-slim design and customizable faceplates, Ring Pro has a finish to match your home and your style.  Includes four interchangeable faceplates Requires existing doorbell wiring Quick and easy installation;Ring Video Recording Plans  For only $3 per month, you can:  Access your videos anytime, anywhere Save all your videos for up to six months Share videos with friends, family and neighbors 	%%%%%	The Ultimate Ring Experience With 1080HD video, two-way audio and customizable motion sensors, the new Video Doorbell Pro is our most advanced doorbell yet. HD Video With Two-Way Talk Custom Motion Zones Infrared Night Vision  Answer the Door From Anywhere Get instant alerts when visitors press your doorbell or trigger the built-in motion sensors, and see, hear and speak to anyone at your door from your smartphone, tablet or PC. Motion-Activated Alerts Video on Demand With Live View Compatible With iOS, Android, Mac and Windows 10 Devices  Advanced Security, Elevated Style With an ultra-slim design and customizable faceplates, Ring Pro has a finish to match your home and your style. Includes 4 Interchangeable Faceplates Requires Existing Doorbell Wiring Quick and Easy Installation  Extra peace of mind with Ring Protect Plans. Boost your home security with a Ring Protect Basic Plan. Save videos captured by your Ring device and review them at anytime. Or share them with neighbors, friends and family.;Ring Video Doorbell Pro Screwdriver 4 x Interchangeable Faceplates Optional wiring and connectors Drill Bit Pro Power Kit Installation Screws & Anchors Quick Setup Guide;Video: 1080 HD Video, Live View, Night Vision  Motion Detection: Custom Motion Zones  Field of View: 160 Degrees  Audio: Two-way audio with noise cancellation  Power: Requires a 16-24V AC transformer  Internet Requirements: Requires a minimum upload speed of 1 Mbps, but 2 Mbps is recommended for optimal performance  Connectivity: 802.11 b/g/n Wi-Fi connection @ 2.4 GHz and 5.0 GHz	Smart Doorbell
New Egg	Action Packaged Inc.	Smart Lock	https://www.newegg.com/p/N82E16881892003?Description=Smart%20Lock&cm_re=Smart_Lock-_-81-892-003-_-Product	Kwikset Kevo 99250-003 Venetian Bronze Smart Lock with Bluetooth enabled deadbolt for iPhone 4S, 5, 5C & 5S, 6 and 6 Plus	Kwikset	#####	Your Smartphone is now your key Touch to open convenience Send eKeys via your Smartphone Receive notifications and manage lock & eKeys through Kevo Mobile App;Your Smartphone Is Now Your Key With Kevo, all you need is your smartphone to unlock your door. You don't even need to take your phone out of your pocket or purse; just touch your lock, it will recognize your phone and unlock the door. No more fumbling for your keys or memorizing a code... just touch the lock to open. Compatible with Apple iPhone 4s and 5 only.;No Smartphone? No Problem The Kevo Fob, that is included with the lock, offers the same touch to open technology and convenience. Leave your fob in your pocket or purse and when you touch the lock, it will recognize your fob and unlock the door. Additional Kevo Fobs will be available for purchase. Send an eKey The key has evolved! Now you can send an electronic key (eKey) to family, friends, or visitors who have a compatible smartphone, so they can use their phone as a key too.   Kevo Mobile App It all starts with the Kevo mobile app that you can download for free from the Apple store. This app allows you to set up your Kevo lock, send, disable or delete eKeys, as well as manage Kevo fobs Is Kevo compatible with my smartphone? Kevo is only compatible with smartphones that support Bluetooth Smart Ready/Bluetooth 4.0 hardware and have an available Kevo app. The Kevo app is currently available for iPhone 4s & 5, as well as the fifth generation iPod touch, third generation or higher iPad and iPad mini. We have plans to support all possible mobile devices. Currently Android 4.3 and Blackberry 10.1 do not fully support all Bluetooth LE features required by Kevo, but we hope they will soon. When they do, we will be ready! You can still enjoy touch-to-open entry with a key fob and migrate to your Android device when available.   Can someone hack into my Kevo lock? The Kevo lock does not only rely on the built-in encryption available in Bluetooth. Kevo also provides multiple levels of military grade PKI encryption.   What is the battery life? The Kevo lock operates on 4 AA batteries and with normal use, the batteries should last for a year before needing replacing. The lock provides multiple low battery indicators and provides plenty of warning to change batteries. In the event that the batteries are not replaced in time, you will need to use the standard key to unlock the door.   When I'm inside the house, can someone touch the Kevo lock to unlock it from the outside? No, the Kevo lock has a unique and patent pending feature to detect if the authorized user is inside or outside of the house, so there will be no accidental unlocking from an unauthorized user outside.   How will the Kevo App affect my smartphone battery life? The Kevo App needs Location Services and Bluetooth to be on, which do use some battery power (you would already be using this if you use other mapping apps or Bluetooth devices). The Kevo App is designed to take advantage of the new ultra-power-efficient Bluetooth Smart Ready Technology, so you shouldn't notice a decrease in your phone's battery life.   What happens if I lose my phone? Simply log into the Kevo app on another smartphone or into the Kevo web portal and disable or delete any eKeys associated with the lock. You will need to use your Kevo Fob or the standard key to unlock the lock until you retrieve or replace your phone.    	%%%%%		Smart Lock
New Egg	Easternstar	Smart Lock	https://www.newegg.com/p/N82E16881860029?Description=Smart%20Lock&cm_re=Smart_Lock-_-81-860-029-_-Product	Nest Hello Video Doorbell to Monitor Front Door	Nest	#####	Video Doorbell to Monitor Front Door 1600 x 1200 Resolution up to 30 fps Night Vision Functionality 160 degree Diagonal Field of View Dual-Band Wi-Fi Connectivity w/ Two-Way Audio Communication;	%%%%%	Power requirements: 16V AC-24V AC; requires a 10VA transformer and wired doorbell  Camera: 1/3-inch, 3-megapixel (2K) color sensor, 8x digital zoom  Video: HD UXGA 1600 x 1200, up to 30 frames/sec, H.264 encoding, HDR  Field of view: 160 degree diagonal  Audio: High-quality speaker and microphone  Lights: RGB light ring and status light  Night Vision: 850nm infrared LEDs  Weather resistance: IPx4 rating  Security: 128-bit AES with TLS / SSL  Wireless: 802.11a/b/g/n/ac (2.4 GHz / 5GHz) 2x2 MIMO Wi-Fi; WEP, WPA, WPA2 encryption supported 802.15.4 (2.4 GHz) Bluetooth Low Energy  Product requirements: Requires a wired doorbell and chime  Connectivity requirements: Wi-Fi 802.11a/b/g/n/ac, 2.4 GHz or 5 GHz (WEP, WPA, WPA2 encryption supported) Working broadband internet connection with at least 2 Mbps upload speed (DSL may not qualify) 	Smart Doorbell
New Egg	Altatac	Smart Lock	https://www.newegg.com/p/N82E16881860033?Description=Smart%20Lock&cm_re=Smart_Lock-_-81-860-033-_-Product	Next,Yale	Nest x Yale lock (Polished Brass) with Nest Connect 	#####	smart lock;Versatile smartphone compatibility: Lock and unlock the door with the Nest app, without a key;Unique passcodes: Give passcodes to family and guests. Set schedules to let them in;Keyless deadbolt: It's secure and tamperproof. No lost keys. No picked locks;Works with Nest Secure alarm system: Unlock the door, and the alarm disarms automatically Access history: Get alerts when someone locks and unlocks the door Satin nickel finish: Offers a sleek and industrial appearance One-touch locking: Just tap to lock on your way out Auto-lock feature: The door	%%%%%	Keless deadbolt,It's secure and tamper-proof,No lost keys,No picked locks,Remote access,Lock and unlock the door with the Nest app,Without a key,Unique passcodes,Give passcodes to the family and guests,Set schedules to let them in,Access history,Get alerts when someone locks and unlocks the dor,One-touch locking,Just tap to lock your way out,Auto-lock,it can lock automatically when nest knows you're away,works with the nest secure alarm system,unlock the door and the alarm disarms automatically,simple installation: replace existing deadbolt wiht just a screwdriver,fits on standard doors,nest connect operating temperature 32 degree to 104 degree F ( 0 degree to 40 degree C)	
